ITEM,TIME,PERCENTAGE
GPS navigation,2008,32
GPS navigation,2009,42
GPS navigation,2010,46
GPS navigation,2011,52
GPS navigation,2012,54
GPS navigation,2013,50
GPS navigation,2014,53
GPS navigation,2015,54
GPS navigation,2016,54
GPS navigation,2017,49
GPS navigation,2018,51
GPS navigation,2019,47
GPS navigation,2020,50
GPS navigation,2021,51
GPS navigation,2022,49
GPS-ur,2010,8
GPS-ur,2011,10
GPS-ur,2012,11
GPS-ur,2013,11
GPS-ur,2014,12
GPS-ur,2015,13
GPS-ur,2016,17
GPS-ur,2017,17
GPS-ur,2018,19
GPS-ur,2019,20
GPS-ur,2020,23
GPS-ur,2021,29
GPS-ur,2022,31
Spillekonsol,2010,35
Spillekonsol,2011,40
Spillekonsol,2012,40
Spillekonsol,2013,42
Spillekonsol,2014,39
Spillekonsol,2015,39
Spillekonsol,2016,42
Spillekonsol,2017,40
Spillekonsol,2018,39
Spillekonsol,2019,38
Spillekonsol,2020,38
Spillekonsol,2021,42
Spillekonsol,2022,37
